,Kejadian,KELURAHAN_balekambang,KELURAHAN_bambu apus,KELURAHAN_batu ampar,KELURAHAN_bidara cina,KELURAHAN_cakung timur,KELURAHAN_cawang,KELURAHAN_cililitan,KELURAHAN_cipayung,KELURAHAN_cipinang,KELURAHAN_cipinang cempedak,KELURAHAN_cipinang melayu,KELURAHAN_cipinang muara,KELURAHAN_ciracas,KELURAHAN_dukuh,KELURAHAN_duren sawit,KELURAHAN_gedong,KELURAHAN_halim perdana kusuma,KELURAHAN_jati,KELURAHAN_jatinegara,KELURAHAN_kampung melayu,KELURAHAN_kampung tengah,KELURAHAN_kayu manis,KELURAHAN_kayu putih,KELURAHAN_kebon manggis,KELURAHAN_kebon pala,KELURAHAN_klender,KELURAHAN_kramatjati,KELURAHAN_lubang buaya,KELURAHAN_makasar,KELURAHAN_malaka sari,KELURAHAN_pekayon,KELURAHAN_penggilingan,KELURAHAN_pinangranti,KELURAHAN_pisangan baru,KELURAHAN_pisangan timur,KELURAHAN_pondok bambu,KELURAHAN_pondok kelapa,KELURAHAN_pulo gadung,KELURAHAN_rambutan,KELURAHAN_rawa bunga,KELURAHAN_rawa terate,KELURAHAN_rawamangun,KELURAHAN_susukan,KELURAHAN_utan kayu selatan,KELURAHAN_utan kayu utara,RAIN_D-1,RAINFALL_D-1,RAIN_LAST3D,ARAINFALL_LAST3D,RAIN_LAST7D,RAINFALL_LAST7D,TEPS_OF_DAY,CIPINANG HULU,SUNTER HULU,PULO GADUNG
20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.0,1,87.0,0,154.0,2,160,175,620
21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,0,6.5,0,10.5,1,105,110,420
22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,0,137.0,0,90,80,330
23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21.0,0,15.0,0,15.0,2,100,80,330
24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,20.0,0,80,60,330
25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,1,128.0,0,209.0,1,125,130,690
26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.0,0,72.0,0,157.0,2,125,150,750
27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,83.0,0,96.0,0,90,75,400
28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0,11.0,0,91.0,1,120,80,330
29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.5,1,24.5,1,93.5,1,105,90,330
30,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,1,128.0,0,209.0,1,125,130,690
31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.0,0,72.0,0,157.0,2,125,150,750
32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,160,250,450
33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,83.0,0,90,140,330
34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2.0,0,2.0,0,75,90,330
35,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.3,1,14.8,1,147.0,1,110,120,331
36,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,79.0,0,232.0,0,120,205,340
37,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66.0,1,74.0,0,85.0,3,170,300,580
38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.0,1,87.0,0,154.0,2,160,175,620
39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,0,6.5,0,10.5,1,105,110,420
40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,0,137.0,0,90,80,330
41,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,20.0,0,80,60,330
